yourlist:M20200514A94466D2655679D1FD8953E075198DA8C1D4D0E	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
EPHA8	P29322	EPHA8_HUMAN	reviewed	Ephrin type-A receptor 8 (EC 2.7.10.1) (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)	EPHA8 EEK HEK3 KIAA1459	Homo sapiens (Human)	1005
C1QA	P02745	C1QA_HUMAN	reviewed	Complement C1q subcomponent subunit A	C1QA	Homo sapiens (Human)	245
EPHB2	P29323	EPHB2_HUMAN	reviewed	Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]	EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5	Homo sapiens (Human)	1055
LUZP1	Q86V48	LUZP1_HUMAN	reviewed	Leucine zipper protein 1	LUZP1	Homo sapiens (Human)	1076
HTR1D	P28221	5HT1D_HUMAN	reviewed	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D)	HTR1D HTR1DA HTRL	Homo sapiens (Human)	377
ZNF436	Q9C0F3	ZN436_HUMAN	reviewed	Zinc finger protein 436	ZNF436 KIAA1710	Homo sapiens (Human)	470
ZNF436-AS1	Q8NC38	CA213_HUMAN	reviewed	Putative uncharacterized protein ZNF436-AS1 (ZNF436 antisense RNA 1) (ZNF436 antisense gene protein 1)	ZNF436-AS1 C1orf213	Homo sapiens (Human)	126
ASAP3	Q8TDY4	ASAP3_HUMAN	reviewed	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3 (Development and differentiation-enhancing factor-like 1) (Protein up-regulated in liver cancer 1)	ASAP3 DDEFL1 UPLC1	Homo sapiens (Human)	903
ID3	Q02535	ID3_HUMAN	reviewed	DNA-binding protein inhibitor ID-3 (Class B basic helix-loop-helix protein 25) (bHLHb25) (Helix-loop-helix protein HEIR-1) (ID-like protein inhibitor HLH 1R21) (Inhibitor of DNA binding 3) (Inhibitor of differentiation 3)	ID3 1R21 BHLHB25 HEIR1	Homo sapiens (Human)	119
ELOA	Q14241	ELOA1_HUMAN	reviewed	Elongin-A (EloA) (Elongin 110 kDa subunit) (RNA polymerase II transcription factor SIII subunit A1) (SIII p110) (Transcription elongation factor B polypeptide 3)	ELOA TCEB3 MSTP059	Homo sapiens (Human)	798
HMGCL	P35914	HMGCL_HUMAN	reviewed	Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)	HMGCL	Homo sapiens (Human)	325
FUCA1	P04066	FUCO_HUMAN	reviewed	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	FUCA1 Nbla10230	Homo sapiens (Human)	466
CNR2	P34972	CNR2_HUMAN	reviewed	Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5)	CNR2 CB2A CB2B	Homo sapiens (Human)	360
MYOM3	Q5VTT5	MYOM3_HUMAN	reviewed	Myomesin-3 (Myomesin family member 3)	MYOM3	Homo sapiens (Human)	1437
IL22RA1	Q8N6P7	I22R1_HUMAN	reviewed	Interleukin-22 receptor subunit alpha-1 (IL-22 receptor subunit alpha-1) (IL-22R-alpha-1) (IL-22RA1) (Cytokine receptor class-II member 9) (Cytokine receptor family 2 member 9) (CRF2-9) (ZcytoR11)	IL22RA1 IL22R	Homo sapiens (Human)	574
GRHL3	Q8TE85	GRHL3_HUMAN	reviewed	Grainyhead-like protein 3 homolog (Sister of mammalian grainyhead) (Transcription factor CP2-like 4)	GRHL3 SOM TFCP2L4	Homo sapiens (Human)	626
STPG1	Q5TH74	STPG1_HUMAN	reviewed	O(6)-methylguanine-induced apoptosis 2 (MAPO2) (Sperm-tail PG-rich repeat-containing protein 1)	STPG1 C1orf201	Homo sapiens (Human)	334
NIPAL3	Q6P499	NPAL3_HUMAN	reviewed	NIPA-like protein 3	NIPAL3 NPAL3	Homo sapiens (Human)	406
RCAN3	Q9UKA8	RCAN3_HUMAN	reviewed	Calcipressin-3 (Down syndrome candidate region 1-like protein 2) (Myocyte-enriched calcineurin-interacting protein 3) (MCIP3) (Regulator of calcineurin 3)	RCAN3 DSCR1L2	Homo sapiens (Human)	241
RUNX3	Q13761	RUNX3_HUMAN	reviewed	Runt-related transcription factor 3 (Acute myeloid leukemia 2 protein) (Core-binding factor subunit alpha-3) (CBF-alpha-3) (Oncogene AML-2) (Polyomavirus enhancer-binding protein 2 alpha C subunit) (PEA2-alpha C) (PEBP2-alpha C) (SL3-3 enhancer factor 1 alpha C subunit) (SL3/AKV core-binding factor alpha C subunit)	RUNX3 AML2 CBFA3 PEBP2A3	Homo sapiens (Human)	415
LDLRAP1	Q5SW96	ARH_HUMAN	reviewed	Low density lipoprotein receptor adapter protein 1 (Autosomal recessive hypercholesterolemia protein)	LDLRAP1 ARH	Homo sapiens (Human)	308
SELENON	Q9NZV5	SELN_HUMAN	reviewed	Selenoprotein N (SelN)	SELENON SELN SEPN1	Homo sapiens (Human)	590
AUNIP	Q9H7T9	AUNIP_HUMAN	reviewed	Aurora kinase A and ninein-interacting protein (AIBp)	AUNIP C1orf135	Homo sapiens (Human)	357
EXTL1	Q92935	EXTL1_HUMAN	reviewed	Exostosin-like 1 (EC 2.4.1.224) (Exostosin-L) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostosis-like protein)	EXTL1 EXTL	Homo sapiens (Human)	676
FAM110D	Q8TAY7	F110D_HUMAN	reviewed	Protein FAM110D	FAM110D GRRP1	Homo sapiens (Human)	271
CNKSR1	Q969H4	CNKR1_HUMAN	reviewed	Connector enhancer of kinase suppressor of ras 1 (Connector enhancer of KSR 1) (CNK homolog protein 1) (CNK1) (hCNK1) (Connector enhancer of KSR-like)	CNKSR1 CNK1	Homo sapiens (Human)	720
CATSPER4	Q7RTX7	CTSR4_HUMAN	reviewed	Cation channel sperm-associated protein 4 (CatSper4)	CATSPER4	Homo sapiens (Human)	472
CEP85	Q6P2H3	CEP85_HUMAN	reviewed	Centrosomal protein of 85 kDa (Cep85) (Coiled-coil domain-containing protein 21)	CEP85 CCDC21	Homo sapiens (Human)	762
UBXN11	Q5T124	UBX11_HUMAN	reviewed	UBX domain-containing protein 11 (Colorectal tumor-associated antigen COA-1) (Socius) (UBX domain-containing protein 5)	UBXN11 SOC UBXD5 PP2243	Homo sapiens (Human)	520
CD52	P31358	CD52_HUMAN	reviewed	CAMPATH-1 antigen (CDw52) (Cambridge pathology 1 antigen) (Epididymal secretory protein E5) (Human epididymis-specific protein 5) (He5) (CD antigen CD52)	CD52 CDW52 HE5	Homo sapiens (Human)	61
CRYBG2	Q8N1P7	CRBG2_HUMAN	reviewed	Beta/gamma crystallin domain-containing protein 2 (Absent in melanoma 1-like protein)	CRYBG2 AIM1L	Homo sapiens (Human)	1661
ZNF683	Q8IZ20	ZN683_HUMAN	reviewed	Tissue-resident T-cell transcription regulator protein ZNF683 (Homolog of Blimp-1 in T-cell) (Hobit) (Zinc finger protein 683)	ZNF683	Homo sapiens (Human)	524
DHDDS	Q86SQ9	DHDDS_HUMAN	reviewed	Dehydrodolichyl diphosphate synthase complex subunit DHDDS (EC 2.5.1.87) (Cis-isoprenyltransferase) (CIT) (Cis-IPTase) (Cis-prenyltransferase subunit hCIT) (Epididymis tissue protein Li 189m)	DHDDS HDS	Homo sapiens (Human)	333
RPS6KA1	Q15418	KS6A1_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1)	RPS6KA1 MAPKAPK1A RSK1	Homo sapiens (Human)	735
GPN2	Q9H9Y4	GPN2_HUMAN	reviewed	GPN-loop GTPase 2 (ATP-binding domain 1 family member B)	GPN2 ATPBD1B UNQ5828/PRO19647	Homo sapiens (Human)	310
FAM46B	Q96A09	TET5B_HUMAN	reviewed	Terminal nucleotidyltransferase 5B (EC 2.7.7.-)	TENT5B FAM46B	Homo sapiens (Human)	425
SYTL1	Q8IYJ3	SYTL1_HUMAN	reviewed	Synaptotagmin-like protein 1 (Exophilin-7) (Protein JFC1)	SYTL1 SLP1 SB146	Homo sapiens (Human)	562
MAP3K6	O95382	M3K6_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 6 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 2)	MAP3K6 ASK2 MAPKKK6 MEKK6	Homo sapiens (Human)	1288
AHDC1	Q5TGY3	AHDC1_HUMAN	reviewed	AT-hook DNA-binding motif-containing protein 1	AHDC1	Homo sapiens (Human)	1603
ATPIF1	Q9UII2	ATIF1_HUMAN	reviewed	ATPase inhibitor, mitochondrial (ATP synthase F1 subunit epsilon) (Inhibitor of F(1)F(o)-ATPase) (IF(1)) (IF1)	ATP5IF1 ATPI ATPIF1	Homo sapiens (Human)	106
PHACTR4	Q8IZ21	PHAR4_HUMAN	reviewed	Phosphatase and actin regulator 4	PHACTR4 PRO2963	Homo sapiens (Human)	702
RCC1	P18754	RCC1_HUMAN	reviewed	Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)	RCC1 CHC1	Homo sapiens (Human)	421
OPRD1	P41143	OPRD_HUMAN	reviewed	Delta-type opioid receptor (D-OR-1) (DOR-1)	OPRD1 OPRD	Homo sapiens (Human)	372
EPB41	P11171	41_HUMAN	reviewed	Protein 4.1 (P4.1) (4.1R) (Band 4.1) (EPB4.1)	EPB41 E41P	Homo sapiens (Human)	864
SRSF4	Q08170	SRSF4_HUMAN	reviewed	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	SRSF4 SFRS4 SRP75	Homo sapiens (Human)	494
MECR	Q9BV79	MECR_HUMAN	reviewed	Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Nuclear receptor-binding factor 1) (HsNrbf-1) (NRBF-1)	MECR NBRF1 CGI-63	Homo sapiens (Human)	373
LAPTM5	Q13571	LAPM5_HUMAN	reviewed	Lysosomal-associated transmembrane protein 5 (Lysosomal-associated multitransmembrane protein 5) (Retinoic acid-inducible E3 protein)	LAPTM5 KIAA0085	Homo sapiens (Human)	262
SDC3	O75056	SDC3_HUMAN	reviewed	Syndecan-3 (SYND3)	SDC3 KIAA0468	Homo sapiens (Human)	442
SERINC2	Q96SA4	SERC2_HUMAN	reviewed	Serine incorporator 2 (Tumor differentially expressed protein 2-like)	SERINC2 TDE2L FKSG84 UNQ263/PRO300	Homo sapiens (Human)	455
COL16A1	Q07092	COGA1_HUMAN	reviewed	Collagen alpha-1(XVI) chain	COL16A1 FP1572	Homo sapiens (Human)	1604
ADGRB2	O60241	AGRB2_HUMAN	reviewed	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	ADGRB2 BAI2	Homo sapiens (Human)	1585
SPOCD1	Q6ZMY3	SPOC1_HUMAN	reviewed	SPOC domain-containing protein 1	SPOCD1	Homo sapiens (Human)	1216
TMEM39B	Q9GZU3	TM39B_HUMAN	reviewed	Transmembrane protein 39B	TMEM39B	Homo sapiens (Human)	492
IQCC	Q4KMZ1	IQCC_HUMAN	reviewed	IQ domain-containing protein C	IQCC	Homo sapiens (Human)	466
BSDC1	Q9NW68	BSDC1_HUMAN	reviewed	BSD domain-containing protein 1	BSDC1 UNQ2494/PRO5781	Homo sapiens (Human)	430
ZBTB8A	Q96BR9	ZBT8A_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 8A (BTB/POZ and zinc-finger domain-containing factor) (BTB/POZ and zinc-finger domains factor on chromosome 1) (BOZ-F1)	ZBTB8A BOZF1	Homo sapiens (Human)	441
RBBP4	Q09028	RBBP4_HUMAN	reviewed	Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48) (Nucleosome-remodeling factor subunit RBAP48) (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48)	RBBP4 RBAP48	Homo sapiens (Human)	425
SYNC	Q9H7C4	SYNCI_HUMAN	reviewed	Syncoilin (Syncoilin intermediate filament 1) (Syncoilin-1)	SYNC SYNC1	Homo sapiens (Human)	482
KIAA1522	Q9P206	K1522_HUMAN	reviewed	Uncharacterized protein KIAA1522	KIAA1522	Homo sapiens (Human)	1035
S100PBP	Q96BU1	S1PBP_HUMAN	reviewed	S100P-binding protein (S100P-binding protein Riken)	S100PBP S100PBPR	Homo sapiens (Human)	408
RNF19B	Q6ZMZ0	RN19B_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)	RNF19B IBRDC3 NKLAM	Homo sapiens (Human)	732
PHC2	Q8IXK0	PHC2_HUMAN	reviewed	Polyhomeotic-like protein 2 (hPH2) (Early development regulatory protein 2)	PHC2 EDR2 PH2	Homo sapiens (Human)	858
ZSCAN20	P17040	ZSC20_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 20 (Zinc finger protein 31) (Zinc finger protein 360) (Zinc finger protein KOX29)	ZSCAN20 KOX29 ZNF31 ZNF360	Homo sapiens (Human)	1043
CSMD2	Q7Z408	CSMD2_HUMAN	reviewed	CUB and sushi domain-containing protein 2 (CUB and sushi multiple domains protein 2)	CSMD2 KIAA1884	Homo sapiens (Human)	3487
C1orf94	Q6P1W5	CA094_HUMAN	reviewed	Uncharacterized protein C1orf94	C1orf94	Homo sapiens (Human)	598
GJB5	O95377	CXB5_HUMAN	reviewed	Gap junction beta-5 protein (Connexin-31.1) (Cx31.1)	GJB5	Homo sapiens (Human)	273
GJA4	P35212	CXA4_HUMAN	reviewed	Gap junction alpha-4 protein (Connexin-37) (Cx37)	GJA4	Homo sapiens (Human)	333
ZMYM1	Q5SVZ6	ZMYM1_HUMAN	reviewed	Zinc finger MYM-type protein 1	ZMYM1	Homo sapiens (Human)	1142
ZMYM4	Q5VZL5	ZMYM4_HUMAN	reviewed	Zinc finger MYM-type protein 4 (Zinc finger protein 262)	ZMYM4 KIAA0425 ZNF262	Homo sapiens (Human)	1548
AGO4	Q9HCK5	AGO4_HUMAN	reviewed	Protein argonaute-4 (Argonaute4) (hAgo4) (Argonaute RISC catalytic component 4) (Eukaryotic translation initiation factor 2C 4) (eIF-2C 4) (eIF2C 4)	AGO4 EIF2C4 KIAA1567	Homo sapiens (Human)	861
TEKT2	Q9UIF3	TEKT2_HUMAN	reviewed	Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1)	TEKT2	Homo sapiens (Human)	430
MAP7D1	Q3KQU3	MA7D1_HUMAN	reviewed	MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1)	MAP7D1 KIAA1187 PARCC1 RPRC1 PP2464	Homo sapiens (Human)	841
STK40	Q8N2I9	STK40_HUMAN	reviewed	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495)	STK40 SGK495 SHIK	Homo sapiens (Human)	435
MRPS15	P82914	RT15_HUMAN	reviewed	28S ribosomal protein S15, mitochondrial (MRP-S15) (S15mt) (Mitochondrial small ribosomal subunit protein uS15m)	MRPS15 RPMS15 DC37	Homo sapiens (Human)	257
CSF3R	Q99062	CSF3R_HUMAN	reviewed	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)	CSF3R GCSFR	Homo sapiens (Human)	836
GRIK3	Q13003	GRIK3_HUMAN	reviewed	Glutamate receptor ionotropic, kainate 3 (GluK3) (Excitatory amino acid receptor 5) (EAA5) (Glutamate receptor 7) (GluR-7) (GluR7)	GRIK3 GLUR7	Homo sapiens (Human)	919
ZC3H12A	Q5D1E8	ZC12A_HUMAN	reviewed	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	ZC3H12A MCPIP MCPIP1	Homo sapiens (Human)	599
SNIP1	Q8TAD8	SNIP1_HUMAN	reviewed	Smad nuclear-interacting protein 1 (FHA domain-containing protein SNIP1)	SNIP1	Homo sapiens (Human)	396
DNALI1	O14645	IDLC_HUMAN	reviewed	Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal) (hp28)	DNALI1	Homo sapiens (Human)	258
C1orf109	Q9NX04	CA109_HUMAN	reviewed	Uncharacterized protein C1orf109	C1orf109	Homo sapiens (Human)	203
EPHA10	Q5JZY3	EPHAA_HUMAN	reviewed	Ephrin type-A receptor 10 (EC 2.7.10.1)	EPHA10	Homo sapiens (Human)	1008
INPP5B	P32019	I5P2_HUMAN	reviewed	Type II inositol 1,4,5-trisphosphate 5-phosphatase (EC 3.1.3.36) (75 kDa inositol polyphosphate-5-phosphatase) (Phosphoinositide 5-phosphatase) (5PTase)	INPP5B OCRL2	Homo sapiens (Human)	993
SF3A3	Q12874	SF3A3_HUMAN	reviewed	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	SF3A3 SAP61	Homo sapiens (Human)	501
FHL3	Q13643	FHL3_HUMAN	reviewed	Four and a half LIM domains protein 3 (FHL-3) (Skeletal muscle LIM-protein 2) (SLIM-2)	FHL3 SLIM2	Homo sapiens (Human)	280
GJA9	P57773	CXA9_HUMAN	reviewed	Gap junction alpha-9 protein (Connexin-58) (Cx58) (Connexin-59) (Cx59) (Gap junction alpha-10 protein)	GJA9 GJA10	Homo sapiens (Human)	515
RHBDL2	Q9NX52	RHBL2_HUMAN	reviewed	Rhomboid-related protein 2 (RRP2) (EC 3.4.21.105) (Rhomboid-like protein 2) [Cleaved into: Rhomboid-related protein 2, N-terminal fragment (NTF); Rhomboid-related protein 2, C-terminal fragment (CTF)]	RHBDL2	Homo sapiens (Human)	303
AKIRIN1	Q9H9L7	AKIR1_HUMAN	reviewed	Akirin-1	AKIRIN1 C1orf108	Homo sapiens (Human)	192
MACF1	Q9UPN3	MACF1_HUMAN	reviewed	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA1251	Homo sapiens (Human)	7388
MYCL	P12524	MYCL_HUMAN	reviewed	Protein L-Myc (Class E basic helix-loop-helix protein 38) (bHLHe38) (Protein L-Myc-1) (V-myc myelocytomatosis viral oncogene homolog)	MYCL BHLHE38 LMYC MYCL1	Homo sapiens (Human)	364
CAP1	Q01518	CAP1_HUMAN	reviewed	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP	Homo sapiens (Human)	475
ZMPSTE24	O75844	FACE1_HUMAN	reviewed	CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog)	ZMPSTE24 FACE1 STE24	Homo sapiens (Human)	475
SMAP2	Q8WU79	SMAP2_HUMAN	reviewed	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)	SMAP2 SMAP1L	Homo sapiens (Human)	429
ZFP69B	Q9UJL9	ZF69B_HUMAN	reviewed	Zinc finger protein 69 homolog B (Zinc finger protein 643)	ZFP69B ZNF643	Homo sapiens (Human)	534
EXO5	Q9H790	EXO5_HUMAN	reviewed	Exonuclease V (Exo V) (hExo5) (EC 3.1.-.-) (Defects in morphology protein 1 homolog)	EXO5 C1orf176 DEM1	Homo sapiens (Human)	373
NFYC	Q13952	NFYC_HUMAN	reviewed	Nuclear transcription factor Y subunit gamma (CAAT box DNA-binding protein subunit C) (Nuclear transcription factor Y subunit C) (NF-YC) (Transactivator HSM-1/2)	NFYC	Homo sapiens (Human)	458
KCNQ4	P56696	KCNQ4_HUMAN	reviewed	Potassium voltage-gated channel subfamily KQT member 4 (KQT-like 4) (Potassium channel subunit alpha KvLQT4) (Voltage-gated potassium channel subunit Kv7.4)	KCNQ4	Homo sapiens (Human)	695
SLFNL1	Q499Z3	SLNL1_HUMAN	reviewed	Schlafen-like protein 1	SLFNL1	Homo sapiens (Human)	407
HIVEP3	Q5T1R4	ZEP3_HUMAN	reviewed	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)	HIVEP3 KBP1 KIAA1555 KRC ZAS3	Homo sapiens (Human)	2406
GUCA2A	Q02747	GUC2A_HUMAN	reviewed	Guanylin (Guanylate cyclase activator 2A) (Guanylate cyclase-activating protein 1) (Guanylate cyclase-activating protein I) (GCAP-I) [Cleaved into: HMW-guanylin; Guanylin]	GUCA2A GUCA2	Homo sapiens (Human)	115
FOXJ3	Q9UPW0	FOXJ3_HUMAN	reviewed	Forkhead box protein J3	FOXJ3 KIAA1041	Homo sapiens (Human)	622
RIMKLA	Q8IXN7	RIMKA_HUMAN	reviewed	N-acetylaspartylglutamate synthase A (NAAG synthetase A) (NAAGS) (EC 6.3.2.41) (N-acetylaspartylglutamylglutamate synthase A) (EC 6.3.2.42) (Ribosomal protein S6 modification-like protein A)	RIMKLA FAM80A	Homo sapiens (Human)	391
ZMYND12	Q9H0C1	ZMY12_HUMAN	reviewed	Zinc finger MYND domain-containing protein 12	ZMYND12	Homo sapiens (Human)	365
CCDC30	Q5VVM6	CCD30_HUMAN	reviewed	Coiled-coil domain-containing protein 30 (Prefoldin subunit 6-like protein)	CCDC30 PFDN6L	Homo sapiens (Human)	783
PPIH	O43447	PPIH_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase H (PPIase H) (EC 5.2.1.8) (Rotamase H) (Small nuclear ribonucleoprotein particle-specific cyclophilin H) (CypH) (U-snRNP-associated cyclophilin SnuCyp-20) (USA-CYP)	PPIH CYP20 CYPH	Homo sapiens (Human)	177
P3H1	Q32P28	P3H1_HUMAN	reviewed	Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1)	P3H1 GROS1 LEPRE1 PSEC0109	Homo sapiens (Human)	736
ERMAP	Q96PL5	ERMAP_HUMAN	reviewed	Erythroid membrane-associated protein (hERMAP) (Radin blood group antigen) (Scianna blood group antigen)	ERMAP RD SC	Homo sapiens (Human)	475
FAM183A	A6NL82	F183A_HUMAN	reviewed	Protein FAM183A	FAM183A	Homo sapiens (Human)	134
EBNA1BP2	Q99848	EBP2_HUMAN	reviewed	Probable rRNA-processing protein EBP2 (EBNA1-binding protein 2) (Nucleolar protein p40)	EBNA1BP2 EBP2	Homo sapiens (Human)	306
CFAP57	Q96MR6	CFA57_HUMAN	reviewed	Cilia- and flagella-associated protein 57 (WD repeat-containing protein 65)	CFAP57 WDR65	Homo sapiens (Human)	1250
TIE1	P35590	TIE1_HUMAN	reviewed	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	TIE1 TIE	Homo sapiens (Human)	1138
MPL	P40238	TPOR_HUMAN	reviewed	Thrombopoietin receptor (TPO-R) (Myeloproliferative leukemia protein) (Proto-oncogene c-Mpl) (CD antigen CD110)	MPL TPOR	Homo sapiens (Human)	635
ST3GAL3	Q11203	SIAT6_HUMAN	reviewed	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.6) (Beta-galactoside alpha-2,3-sialyltransferase 3) (Alpha 2,3-ST 3) (Gal beta-1,3(4) GlcNAc alpha-2,3 sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal III) (ST3GalIII) (ST3N) (Sialyltransferase 6)	ST3GAL3 SIAT6	Homo sapiens (Human)	375
ARTN	Q5T4W7	ARTN_HUMAN	reviewed	Artemin (Enovin) (Neublastin)	ARTN EVN	Homo sapiens (Human)	220
IPO13	O94829	IPO13_HUMAN	reviewed	Importin-13 (Imp13) (Karyopherin-13) (Kap13) (Ran-binding protein 13) (RanBP13)	IPO13 KIAA0724 RANBP13	Homo sapiens (Human)	963
SLC6A9	P48067	SC6A9_HUMAN	reviewed	Sodium- and chloride-dependent glycine transporter 1 (GlyT-1) (GlyT1) (Solute carrier family 6 member 9)	SLC6A9	Homo sapiens (Human)	706
EIF2B3	Q9NR50	EI2BG_HUMAN	reviewed	Translation initiation factor eIF-2B subunit gamma (eIF-2B GDP-GTP exchange factor subunit gamma)	EIF2B3	Homo sapiens (Human)	452
HECTD3	Q5T447	HECD3_HUMAN	reviewed	E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)	HECTD3	Homo sapiens (Human)	861
ZSWIM5	Q9P217	ZSWM5_HUMAN	reviewed	Zinc finger SWIM domain-containing protein 5	ZSWIM5 KIAA1511	Homo sapiens (Human)	1185
MUTYH	Q9UIF7	MUTYH_HUMAN	reviewed	Adenine DNA glycosylase (EC 3.2.2.31) (MutY homolog) (hMYH)	MUTYH MYH	Homo sapiens (Human)	546
TESK2	Q96S53	TESK2_HUMAN	reviewed	Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)	TESK2	Homo sapiens (Human)	571
CCDC163	A0A0D9SF12	CC163_HUMAN	reviewed	Transmembrane protein CCDC163 (Coiled-coil domain-containing protein 163) (coiled-coil domain containing 163 pseudogene)	CCDC163 C1orf231 CCDC163P	Homo sapiens (Human)	145
MMACHC	Q9Y4U1	MMAC_HUMAN	reviewed	Methylmalonic aciduria and homocystinuria type C protein (EC 1.16.1.-) (CblC) (Cyanocobalamin reductase (cyanide-eliminating))	MMACHC	Homo sapiens (Human)	282
NASP	P49321	NASP_HUMAN	reviewed	Nuclear autoantigenic sperm protein (NASP)	NASP	Homo sapiens (Human)	788
CCDC17	Q96LX7	CCD17_HUMAN	reviewed	Coiled-coil domain-containing protein 17	CCDC17	Homo sapiens (Human)	622
MAST2	Q6P0Q8	MAST2_HUMAN	reviewed	Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1)	MAST2 KIAA0807 MAST205	Homo sapiens (Human)	1798
PIK3R3	Q92569	P55G_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit gamma (PI3-kinase regulatory subunit gamma) (PI3K regulatory subunit gamma) (PtdIns-3-kinase regulatory subunit gamma) (Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma) (PI3-kinase subunit p55-gamma) (PtdIns-3-kinase regulatory subunit p55-gamma) (p55PIK)	PIK3R3	Homo sapiens (Human)	461
