yourlist:M20200502A94466D2655679D1FD8953E075198DA8958C1B8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
FUCA1	P04066	FUCO_HUMAN	reviewed	Tissue alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucosidase I) (Alpha-L-fucoside fucohydrolase 1) (Alpha-L-fucosidase 1)	FUCA1 Nbla10230	Homo sapiens (Human)	466
CNR2	P34972	CNR2_HUMAN	reviewed	Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5)	CNR2 CB2A CB2B	Homo sapiens (Human)	360
MYOM3	Q5VTT5	MYOM3_HUMAN	reviewed	Myomesin-3 (Myomesin family member 3)	MYOM3	Homo sapiens (Human)	1437
IL22RA1	Q8N6P7	I22R1_HUMAN	reviewed	Interleukin-22 receptor subunit alpha-1 (IL-22 receptor subunit alpha-1) (IL-22R-alpha-1) (IL-22RA1) (Cytokine receptor class-II member 9) (Cytokine receptor family 2 member 9) (CRF2-9) (ZcytoR11)	IL22RA1 IL22R	Homo sapiens (Human)	574
GRHL3	Q8TE85	GRHL3_HUMAN	reviewed	Grainyhead-like protein 3 homolog (Sister of mammalian grainyhead) (Transcription factor CP2-like 4)	GRHL3 SOM TFCP2L4	Homo sapiens (Human)	626
STPG1	Q5TH74	STPG1_HUMAN	reviewed	O(6)-methylguanine-induced apoptosis 2 (MAPO2) (Sperm-tail PG-rich repeat-containing protein 1)	STPG1 C1orf201	Homo sapiens (Human)	334
RUNX3	Q13761	RUNX3_HUMAN	reviewed	Runt-related transcription factor 3 (Acute myeloid leukemia 2 protein) (Core-binding factor subunit alpha-3) (CBF-alpha-3) (Oncogene AML-2) (Polyomavirus enhancer-binding protein 2 alpha C subunit) (PEA2-alpha C) (PEBP2-alpha C) (SL3-3 enhancer factor 1 alpha C subunit) (SL3/AKV core-binding factor alpha C subunit)	RUNX3 AML2 CBFA3 PEBP2A3	Homo sapiens (Human)	415
RSRP1	Q9BUV0	RSRP1_HUMAN	reviewed	Arginine/serine-rich protein 1	RSRP1 C1orf63 HT033 NPD014	Homo sapiens (Human)	290
LDLRAP1	Q5SW96	ARH_HUMAN	reviewed	Low density lipoprotein receptor adapter protein 1 (Autosomal recessive hypercholesterolemia protein)	LDLRAP1 ARH	Homo sapiens (Human)	308
MAN1C1	Q9NR34	MA1C1_HUMAN	reviewed	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC (EC 3.2.1.113) (HMIC) (Mannosidase alpha class 1C member 1) (Processing alpha-1,2-mannosidase IC) (Alpha-1,2-mannosidase IC)	MAN1C1 MAN1A3 MAN1C	Homo sapiens (Human)	630
SELENON	Q9NZV5	SELN_HUMAN	reviewed	Selenoprotein N (SelN)	SELENON SELN SEPN1	Homo sapiens (Human)	590
EXTL1	Q92935	EXTL1_HUMAN	reviewed	Exostosin-like 1 (EC 2.4.1.224) (Exostosin-L) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostosis-like protein)	EXTL1 EXTL	Homo sapiens (Human)	676
TRIM63	Q969Q1	TRI63_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM63 (EC 2.3.2.27) (Iris RING finger protein) (Muscle-specific RING finger protein 1) (MuRF-1) (MuRF1) (RING finger protein 28) (RING-type E3 ubiquitin transferase TRIM63) (Striated muscle RING zinc finger protein) (Tripartite motif-containing protein 63)	TRIM63 IRF MURF1 RNF28 SMRZ	Homo sapiens (Human)	353
CNKSR1	Q969H4	CNKR1_HUMAN	reviewed	Connector enhancer of kinase suppressor of ras 1 (Connector enhancer of KSR 1) (CNK homolog protein 1) (CNK1) (hCNK1) (Connector enhancer of KSR-like)	CNKSR1 CNK1	Homo sapiens (Human)	720
CATSPER4	Q7RTX7	CTSR4_HUMAN	reviewed	Cation channel sperm-associated protein 4 (CatSper4)	CATSPER4	Homo sapiens (Human)	472
UBXN11	Q5T124	UBX11_HUMAN	reviewed	UBX domain-containing protein 11 (Colorectal tumor-associated antigen COA-1) (Socius) (UBX domain-containing protein 5)	UBXN11 SOC UBXD5 PP2243	Homo sapiens (Human)	520
CD52	P31358	CD52_HUMAN	reviewed	CAMPATH-1 antigen (CDw52) (Cambridge pathology 1 antigen) (Epididymal secretory protein E5) (Human epididymis-specific protein 5) (He5) (CD antigen CD52)	CD52 CDW52 HE5	Homo sapiens (Human)	61
CRYBG2	Q8N1P7	CRBG2_HUMAN	reviewed	Beta/gamma crystallin domain-containing protein 2 (Absent in melanoma 1-like protein)	CRYBG2 AIM1L	Homo sapiens (Human)	1661
RPS6KA1	Q15418	KS6A1_HUMAN	reviewed	Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1)	RPS6KA1 MAPKAPK1A RSK1	Homo sapiens (Human)	735
ARID1A	O14497	ARI1A_HUMAN	reviewed	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	Homo sapiens (Human)	2285
ZDHHC18	Q9NUE0	ZDH18_HUMAN	reviewed	Palmitoyltransferase ZDHHC18 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 18) (DHHC-18)	ZDHHC18	Homo sapiens (Human)	388
GPN2	Q9H9Y4	GPN2_HUMAN	reviewed	GPN-loop GTPase 2 (ATP-binding domain 1 family member B)	GPN2 ATPBD1B UNQ5828/PRO19647	Homo sapiens (Human)	310
FAM46B	Q96A09	TET5B_HUMAN	reviewed	Terminal nucleotidyltransferase 5B (EC 2.7.7.-)	TENT5B FAM46B	Homo sapiens (Human)	425
SLC9A1	P19634	SL9A1_HUMAN	reviewed	Sodium/hydrogen exchanger 1 (APNH) (Na(+)/H(+) antiporter, amiloride-sensitive) (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)	SLC9A1 APNH1 NHE1	Homo sapiens (Human)	815
SYTL1	Q8IYJ3	SYTL1_HUMAN	reviewed	Synaptotagmin-like protein 1 (Exophilin-7) (Protein JFC1)	SYTL1 SLP1 SB146	Homo sapiens (Human)	562
MAP3K6	O95382	M3K6_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 6 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 2)	MAP3K6 ASK2 MAPKKK6 MEKK6	Homo sapiens (Human)	1288
CD164L2	Q6UWJ8	C16L2_HUMAN	reviewed	CD164 sialomucin-like 2 protein	CD164L2 UNQ6122/PRO20044	Homo sapiens (Human)	174
WASF2	Q9Y6W5	WASF2_HUMAN	reviewed	Wiskott-Aldrich syndrome protein family member 2 (WASP family protein member 2) (Protein WAVE-2) (Verprolin homology domain-containing protein 2)	WASF2 WAVE2	Homo sapiens (Human)	498
AHDC1	Q5TGY3	AHDC1_HUMAN	reviewed	AT-hook DNA-binding motif-containing protein 1	AHDC1	Homo sapiens (Human)	1603
SMPDL3B	Q92485	ASM3B_HUMAN	reviewed	Acid sphingomyelinase-like phosphodiesterase 3b (ASM-like phosphodiesterase 3b) (EC 3.1.4.-)	SMPDL3B ASML3B ASMLPD	Homo sapiens (Human)	455
ATPIF1	Q9UII2	ATIF1_HUMAN	reviewed	ATPase inhibitor, mitochondrial (ATP synthase F1 subunit epsilon) (Inhibitor of F(1)F(o)-ATPase) (IF(1)) (IF1)	ATP5IF1 ATPI ATPIF1	Homo sapiens (Human)	106
PHACTR4	Q8IZ21	PHAR4_HUMAN	reviewed	Phosphatase and actin regulator 4	PHACTR4 PRO2963	Homo sapiens (Human)	702
SNHG12	Q9BXW3	SNH12_HUMAN	reviewed	Putative uncharacterized protein SNHG12 (Transformation-related gene 11 protein) (TRG-11)	SNHG12 C1orf79 PNAS-123 TRG11	Homo sapiens (Human)	62
OPRD1	P41143	OPRD_HUMAN	reviewed	Delta-type opioid receptor (D-OR-1) (DOR-1)	OPRD1 OPRD	Homo sapiens (Human)	372
SRSF4	Q08170	SRSF4_HUMAN	reviewed	Serine/arginine-rich splicing factor 4 (Pre-mRNA-splicing factor SRP75) (SRP001LB) (Splicing factor, arginine/serine-rich 4)	SRSF4 SFRS4 SRP75	Homo sapiens (Human)	494
MECR	Q9BV79	MECR_HUMAN	reviewed	Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Nuclear receptor-binding factor 1) (HsNrbf-1) (NRBF-1)	MECR NBRF1 CGI-63	Homo sapiens (Human)	373
LAPTM5	Q13571	LAPM5_HUMAN	reviewed	Lysosomal-associated transmembrane protein 5 (Lysosomal-associated multitransmembrane protein 5) (Retinoic acid-inducible E3 protein)	LAPTM5 KIAA0085	Homo sapiens (Human)	262
SDC3	O75056	SDC3_HUMAN	reviewed	Syndecan-3 (SYND3)	SDC3 KIAA0468	Homo sapiens (Human)	442
PUM1	Q14671	PUM1_HUMAN	reviewed	Pumilio homolog 1 (HsPUM) (Pumilio-1)	PUM1 KIAA0099 PUMH1	Homo sapiens (Human)	1186
SERINC2	Q96SA4	SERC2_HUMAN	reviewed	Serine incorporator 2 (Tumor differentially expressed protein 2-like)	SERINC2 TDE2L FKSG84 UNQ263/PRO300	Homo sapiens (Human)	455
HCRTR1	O43613	OX1R_HUMAN	reviewed	Orexin receptor type 1 (Ox-1-R) (Ox1-R) (Ox1R) (Hypocretin receptor type 1)	HCRTR1	Homo sapiens (Human)	425
PEF1	Q9UBV8	PEF1_HUMAN	reviewed	Peflin (PEF protein with a long N-terminal hydrophobic domain) (Penta-EF hand domain-containing protein 1)	PEF1 ABP32 UNQ1845/PRO3573	Homo sapiens (Human)	284
COL16A1	Q07092	COGA1_HUMAN	reviewed	Collagen alpha-1(XVI) chain	COL16A1 FP1572	Homo sapiens (Human)	1604
ADGRB2	O60241	AGRB2_HUMAN	reviewed	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	ADGRB2 BAI2	Homo sapiens (Human)	1585
SPOCD1	Q6ZMY3	SPOC1_HUMAN	reviewed	SPOC domain-containing protein 1	SPOCD1	Homo sapiens (Human)	1216
CCDC28B	Q9BUN5	CC28B_HUMAN	reviewed	Coiled-coil domain-containing protein 28B	CCDC28B	Homo sapiens (Human)	200
ZBTB8A	Q96BR9	ZBT8A_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 8A (BTB/POZ and zinc-finger domain-containing factor) (BTB/POZ and zinc-finger domains factor on chromosome 1) (BOZ-F1)	ZBTB8A BOZF1	Homo sapiens (Human)	441
ZBTB8OS	Q8IWT0	ARCH_HUMAN	reviewed	Protein archease (Protein ZBTB8OS) (Zinc finger and BTB domain-containing opposite strand protein 8)	ZBTB8OS ARCH	Homo sapiens (Human)	167
RBBP4	Q09028	RBBP4_HUMAN	reviewed	Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48) (Nucleosome-remodeling factor subunit RBAP48) (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48)	RBBP4 RBAP48	Homo sapiens (Human)	425
SYNC	Q9H7C4	SYNCI_HUMAN	reviewed	Syncoilin (Syncoilin intermediate filament 1) (Syncoilin-1)	SYNC SYNC1	Homo sapiens (Human)	482
RNF19B	Q6ZMZ0	RN19B_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF19B (EC 2.3.2.31) (IBR domain-containing protein 3) (Natural killer lytic-associated molecule) (RING finger protein 19B)	RNF19B IBRDC3 NKLAM	Homo sapiens (Human)	732
PHC2	Q8IXK0	PHC2_HUMAN	reviewed	Polyhomeotic-like protein 2 (hPH2) (Early development regulatory protein 2)	PHC2 EDR2 PH2	Homo sapiens (Human)	858
ZSCAN20	P17040	ZSC20_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 20 (Zinc finger protein 31) (Zinc finger protein 360) (Zinc finger protein KOX29)	ZSCAN20 KOX29 ZNF31 ZNF360	Homo sapiens (Human)	1043
CSMD2	Q7Z408	CSMD2_HUMAN	reviewed	CUB and sushi domain-containing protein 2 (CUB and sushi multiple domains protein 2)	CSMD2 KIAA1884	Homo sapiens (Human)	3487
GJB5	O95377	CXB5_HUMAN	reviewed	Gap junction beta-5 protein (Connexin-31.1) (Cx31.1)	GJB5	Homo sapiens (Human)	273
GJA4	P35212	CXA4_HUMAN	reviewed	Gap junction alpha-4 protein (Connexin-37) (Cx37)	GJA4	Homo sapiens (Human)	333
ZMYM1	Q5SVZ6	ZMYM1_HUMAN	reviewed	Zinc finger MYM-type protein 1	ZMYM1	Homo sapiens (Human)	1142
AGO4	Q9HCK5	AGO4_HUMAN	reviewed	Protein argonaute-4 (Argonaute4) (hAgo4) (Argonaute RISC catalytic component 4) (Eukaryotic translation initiation factor 2C 4) (eIF-2C 4) (eIF2C 4)	AGO4 EIF2C4 KIAA1567	Homo sapiens (Human)	861
TEKT2	Q9UIF3	TEKT2_HUMAN	reviewed	Tektin-2 (Tektin-t) (Testicular tektin) (Testicular tektin B1-like protein) (TEKTB1) (Tektin-B1)	TEKT2	Homo sapiens (Human)	430
ADPRHL2	Q9NX46	ADPRS_HUMAN	reviewed	ADP-ribose glycohydrolase ARH3 (ADP-ribosylhydrolase 3) (O-acetyl-ADP-ribose deacetylase ARH3) (EC 3.5.1.-) (Poly(ADP-ribose) glycohydrolase ARH3) (EC 3.2.1.143) ([Protein ADP-ribosylarginine] hydrolase-like protein 2) ([Protein ADP-ribosylserine] hydrolase) (EC 3.2.2.-)	ADPRS ADPRHL2 ARH3	Homo sapiens (Human)	363
MAP7D1	Q3KQU3	MA7D1_HUMAN	reviewed	MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1)	MAP7D1 KIAA1187 PARCC1 RPRC1 PP2464	Homo sapiens (Human)	841
SH3D21	A4FU49	SH321_HUMAN	reviewed	SH3 domain-containing protein 21	SH3D21 C1orf113	Homo sapiens (Human)	640
OSCP1	Q8WVF1	OSCP1_HUMAN	reviewed	Protein OSCP1 (hOSCP1) (Organic solute transport protein 1) (Oxidored-nitro domain-containing protein 1)	OSCP1 C1orf102 NOR1	Homo sapiens (Human)	389
MRPS15	P82914	RT15_HUMAN	reviewed	28S ribosomal protein S15, mitochondrial (MRP-S15) (S15mt) (Mitochondrial small ribosomal subunit protein uS15m)	MRPS15 RPMS15 DC37	Homo sapiens (Human)	257
CSF3R	Q99062	CSF3R_HUMAN	reviewed	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)	CSF3R GCSFR	Homo sapiens (Human)	836
DNALI1	O14645	IDLC_HUMAN	reviewed	Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal) (hp28)	DNALI1	Homo sapiens (Human)	258
GNL2	Q13823	NOG2_HUMAN	reviewed	Nucleolar GTP-binding protein 2 (Autoantigen NGP-1)	GNL2 NGP1	Homo sapiens (Human)	731
C1orf109	Q9NX04	CA109_HUMAN	reviewed	Uncharacterized protein C1orf109	C1orf109	Homo sapiens (Human)	203
INPP5B	P32019	I5P2_HUMAN	reviewed	Type II inositol 1,4,5-trisphosphate 5-phosphatase (EC 3.1.3.36) (75 kDa inositol polyphosphate-5-phosphatase) (Phosphoinositide 5-phosphatase) (5PTase)	INPP5B OCRL2	Homo sapiens (Human)	993
SF3A3	Q12874	SF3A3_HUMAN	reviewed	Splicing factor 3A subunit 3 (SF3a60) (Spliceosome-associated protein 61) (SAP 61)	SF3A3 SAP61	Homo sapiens (Human)	501
FHL3	Q13643	FHL3_HUMAN	reviewed	Four and a half LIM domains protein 3 (FHL-3) (Skeletal muscle LIM-protein 2) (SLIM-2)	FHL3 SLIM2	Homo sapiens (Human)	280
RHBDL2	Q9NX52	RHBL2_HUMAN	reviewed	Rhomboid-related protein 2 (RRP2) (EC 3.4.21.105) (Rhomboid-like protein 2) [Cleaved into: Rhomboid-related protein 2, N-terminal fragment (NTF); Rhomboid-related protein 2, C-terminal fragment (CTF)]	RHBDL2	Homo sapiens (Human)	303
MACF1	Q9UPN3	MACF1_HUMAN	reviewed	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA1251	Homo sapiens (Human)	7388
TRIT1	Q9H3H1	MOD5_HUMAN	reviewed	tRNA dimethylallyltransferase (EC 2.5.1.75) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (hGRO1) (tRNA isopentenyltransferase 1) (IPTase)	TRIT1 IPT MOD5	Homo sapiens (Human)	467
MYCL	P12524	MYCL_HUMAN	reviewed	Protein L-Myc (Class E basic helix-loop-helix protein 38) (bHLHe38) (Protein L-Myc-1) (V-myc myelocytomatosis viral oncogene homolog)	MYCL BHLHE38 LMYC MYCL1	Homo sapiens (Human)	364
CAP1	Q01518	CAP1_HUMAN	reviewed	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP	Homo sapiens (Human)	475
CAP1	Q13114	TRAF3_HUMAN	reviewed	TNF receptor-associated factor 3 (EC 2.3.2.27) (CAP-1) (CD40 receptor-associated factor 1) (CRAF1) (CD40-binding protein) (CD40BP) (LMP1-associated protein 1) (LAP1) (RING-type E3 ubiquitin transferase TRAF3)	TRAF3 CAP1 CRAF1	Homo sapiens (Human)	568
RLF	P51460	INSL3_HUMAN	reviewed	Insulin-like 3 (Leydig insulin-like peptide) (Ley-I-L) (Relaxin-like factor) [Cleaved into: Insulin-like 3 B chain; Insulin-like 3 A chain]	INSL3 RLF RLNL	Homo sapiens (Human)	131
RLF	Q13129	RLF_HUMAN	reviewed	Zinc finger protein Rlf (Rearranged L-myc fusion gene protein) (Zn-15-related protein)	RLF	Homo sapiens (Human)	1914
SMAP2	Q8WU79	SMAP2_HUMAN	reviewed	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)	SMAP2 SMAP1L	Homo sapiens (Human)	429
ZFP69B	Q9UJL9	ZF69B_HUMAN	reviewed	Zinc finger protein 69 homolog B (Zinc finger protein 643)	ZFP69B ZNF643	Homo sapiens (Human)	534
EXO5	Q9H790	EXO5_HUMAN	reviewed	Exonuclease V (Exo V) (hExo5) (EC 3.1.-.-) (Defects in morphology protein 1 homolog)	EXO5 C1orf176 DEM1	Homo sapiens (Human)	373
ZNF684	Q5T5D7	ZN684_HUMAN	reviewed	Zinc finger protein 684	ZNF684	Homo sapiens (Human)	378
KCNQ4	P56696	KCNQ4_HUMAN	reviewed	Potassium voltage-gated channel subfamily KQT member 4 (KQT-like 4) (Potassium channel subunit alpha KvLQT4) (Voltage-gated potassium channel subunit Kv7.4)	KCNQ4	Homo sapiens (Human)	695
HIVEP3	Q5T1R4	ZEP3_HUMAN	reviewed	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)	HIVEP3 KBP1 KIAA1555 KRC ZAS3	Homo sapiens (Human)	2406
GUCA2B	Q16661	GUC2B_HUMAN	reviewed	Guanylate cyclase activator 2B [Cleaved into: Guanylate cyclase C-activating peptide 2 (Guanylate cyclase C-activating peptide II) (GCAP-II); Uroguanylin (UGN)]	GUCA2B	Homo sapiens (Human)	112
GUCA2A	Q02747	GUC2A_HUMAN	reviewed	Guanylin (Guanylate cyclase activator 2A) (Guanylate cyclase-activating protein 1) (Guanylate cyclase-activating protein I) (GCAP-I) [Cleaved into: HMW-guanylin; Guanylin]	GUCA2A GUCA2	Homo sapiens (Human)	115
FOXJ3	Q9UPW0	FOXJ3_HUMAN	reviewed	Forkhead box protein J3	FOXJ3 KIAA1041	Homo sapiens (Human)	622
RIMKLA	Q8IXN7	RIMKA_HUMAN	reviewed	N-acetylaspartylglutamate synthase A (NAAG synthetase A) (NAAGS) (EC 6.3.2.41) (N-acetylaspartylglutamylglutamate synthase A) (EC 6.3.2.42) (Ribosomal protein S6 modification-like protein A)	RIMKLA FAM80A	Homo sapiens (Human)	391
ZMYND12	Q9H0C1	ZMY12_HUMAN	reviewed	Zinc finger MYND domain-containing protein 12	ZMYND12	Homo sapiens (Human)	365
CCDC30	Q5VVM6	CCD30_HUMAN	reviewed	Coiled-coil domain-containing protein 30 (Prefoldin subunit 6-like protein)	CCDC30 PFDN6L	Homo sapiens (Human)	783
P3H1	Q32P28	P3H1_HUMAN	reviewed	Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1)	P3H1 GROS1 LEPRE1 PSEC0109	Homo sapiens (Human)	736
SLC2A1	P11166	GTR1_HUMAN	reviewed	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)	SLC2A1 GLUT1	Homo sapiens (Human)	492
CFAP57	Q96MR6	CFA57_HUMAN	reviewed	Cilia- and flagella-associated protein 57 (WD repeat-containing protein 65)	CFAP57 WDR65	Homo sapiens (Human)	1250
TIE1	P35590	TIE1_HUMAN	reviewed	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	TIE1 TIE	Homo sapiens (Human)	1138
ST3GAL3	Q11203	SIAT6_HUMAN	reviewed	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase (EC 2.4.99.6) (Beta-galactoside alpha-2,3-sialyltransferase 3) (Alpha 2,3-ST 3) (Gal beta-1,3(4) GlcNAc alpha-2,3 sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal III) (ST3GalIII) (ST3N) (Sialyltransferase 6)	ST3GAL3 SIAT6	Homo sapiens (Human)	375
ARTN	Q5T4W7	ARTN_HUMAN	reviewed	Artemin (Enovin) (Neublastin)	ARTN EVN	Homo sapiens (Human)	220
ATP6V0B	Q99437	VATO_HUMAN	reviewed	V-type proton ATPase 21 kDa proteolipid subunit (V-ATPase 21 kDa proteolipid subunit) (Vacuolar proton pump 21 kDa proteolipid subunit) (hATPL)	ATP6V0B ATP6F	Homo sapiens (Human)	205
KIF2C	Q99661	KIF2C_HUMAN	reviewed	Kinesin-like protein KIF2C (Kinesin-like protein 6) (Mitotic centromere-associated kinesin) (MCAK)	KIF2C KNSL6	Homo sapiens (Human)	725
PLK3	Q9H4B4	PLK3_HUMAN	reviewed	Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase)	PLK3 CNK FNK PRK	Homo sapiens (Human)	646
TCTEX1D4	Q5JR98	TC1D4_HUMAN	reviewed	Tctex1 domain-containing protein 4 (Protein N22.1) (Tctex-2-beta)	TCTEX1D4	Homo sapiens (Human)	221
PTCH2	Q9Y6C5	PTC2_HUMAN	reviewed	Protein patched homolog 2 (PTC2)	PTCH2 UNQ560/PRO1121/PRO57079	Homo sapiens (Human)	1203
EIF2B3	Q9NR50	EI2BG_HUMAN	reviewed	Translation initiation factor eIF-2B subunit gamma (eIF-2B GDP-GTP exchange factor subunit gamma)	EIF2B3	Homo sapiens (Human)	452
HECTD3	Q5T447	HECD3_HUMAN	reviewed	E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)	HECTD3	Homo sapiens (Human)	861
ZSWIM5	Q9P217	ZSWM5_HUMAN	reviewed	Zinc finger SWIM domain-containing protein 5	ZSWIM5 KIAA1511	Homo sapiens (Human)	1185
NASP	P49321	NASP_HUMAN	reviewed	Nuclear autoantigenic sperm protein (NASP)	NASP	Homo sapiens (Human)	788
CCDC17	Q96LX7	CCD17_HUMAN	reviewed	Coiled-coil domain-containing protein 17	CCDC17	Homo sapiens (Human)	622
GPBP1L1	Q9HC44	GPBL1_HUMAN	reviewed	Vasculin-like protein 1 (GC-rich promoter-binding protein 1-like 1)	GPBP1L1 SP192	Homo sapiens (Human)	474
IPP	Q9Y573	IPP_HUMAN	reviewed	Actin-binding protein IPP (Intracisternal A particle-promoted polypeptide) (IPP) (Kelch-like protein 27)	IPP KLHL27	Homo sapiens (Human)	584
MAST2	Q6P0Q8	MAST2_HUMAN	reviewed	Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1)	MAST2 KIAA0807 MAST205	Homo sapiens (Human)	1798
PIK3R3	Q92569	P55G_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit gamma (PI3-kinase regulatory subunit gamma) (PI3K regulatory subunit gamma) (PtdIns-3-kinase regulatory subunit gamma) (Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma) (PI3-kinase subunit p55-gamma) (PtdIns-3-kinase regulatory subunit p55-gamma) (p55PIK)	PIK3R3	Homo sapiens (Human)	461
POMGNT1	Q8WZA1	PMGT1_HUMAN	reviewed	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 (POMGnT1) (EC 2.4.1.-) (UDP-GlcNAc:alpha-D-mannoside beta-1,2-N-acetylglucosaminyltransferase I.2) (GnT I.2)	POMGNT1 MGAT1.2 UNQ746/PRO1475	Homo sapiens (Human)	660
RAD54L	P46100	ATRX_HUMAN	reviewed	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX)	ATRX RAD54L XH2	Homo sapiens (Human)	2492
RAD54L	Q92698	RAD54_HUMAN	reviewed	DNA repair and recombination protein RAD54-like (EC 3.6.4.-) (RAD54 homolog) (hHR54) (hRAD54)	RAD54L RAD54A	Homo sapiens (Human)	747
LRRC41	Q15345	LRC41_HUMAN	reviewed	Leucine-rich repeat-containing protein 41 (Protein Muf1)	LRRC41 MUF1 PP7759	Homo sapiens (Human)	812
UQCRH	P07919	QCR6_HUMAN	reviewed	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)	UQCRH	Homo sapiens (Human)	91
NSUN4	Q96CB9	NSUN4_HUMAN	reviewed	5-methylcytosine rRNA methyltransferase NSUN4 (EC 2.1.1.-) (NOL1/NOP2/Sun domain family member 4)	NSUN4	Homo sapiens (Human)	384
FAAH	O00519	FAAH1_HUMAN	reviewed	Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Oleamide hydrolase 1)	FAAH FAAH1	Homo sapiens (Human)	579
DMBX1	Q8NFW5	DMBX1_HUMAN	reviewed	Diencephalon/mesencephalon homeobox protein 1 (Orthodenticle homolog 3) (Paired-like homeobox protein DMBX1)	DMBX1 MBX OTX3 PAXB	Homo sapiens (Human)	382
MOB3C	Q70IA8	MOB3C_HUMAN	reviewed	MOB kinase activator 3C (Mob1 homolog 2C) (Mps one binder kinase activator-like 2C)	MOB3C MOBKL2C	Homo sapiens (Human)	216
